"Config:   ","DummyConfg","
"TrSe2_POS2",A,
"TrSe2_POS3",A,
"TrSe2_POS4",A,
"TraSe2_DOC",A,
"TraSe2_DON",A,
"TraSe2_DOP",A,
"TraSe2_DOS",A,
"TraSe2_NH4",A,
"TraSe2_PO4",A,
"TraSe2_NO3",A,
"TraSe2_SO4",A,
"TraSe2_CH4",A,
"TraSe2_SUD",A,
"TraSe2_SUP",A,
"TraSe2_IM2",A,
"TraSe2_IM3",A,
"TraSe2_Cl ",A,
"TraSe2_Sal",A,
"TraSe2_AAP",A,
"TraSe2_Si ",A,
"TrSe2_VIVP",A,
"TrSe2_APAT",A,
"TrSe2_F3pa",A,
"TrSe2_F3pc",A,
"TrSe2_Fe3d",A,
"TrSe2_Fe2d",A,
"TrSe2_FeS ",A,
"TrSe2_FeS2",A,
"TrSe2_FCO3",A,
"TrSe2_Opal",A,
"TraSe2_TIC",A,
"TrSe2_Alka",A,
"TrSe2_MPB1",A,
"TrSe2_MPB2",A,
"TrSe2Alg01",A,
"TrSe2Alg02",A,
"TrSe2Alg03",A,
"TrSe2Alg04",A,
"TrSe2Alg05",A,
"TrSe2Alg06",A,
"TrSe2Alg07",A,
"TrSe2Alg08",A,
"TrSe2Alg09",A,
"TrSe2Alg10",A,
"TrSe2Alg11",A,
"TrSe2Alg12",A,
"TrSe2Alg13",A,
"TrSe2Alg14",A,
"TrSe2Alg15",A,
"TrSe2Alg16",A,
"TrSe2Alg17",A,
"TrSe2Alg18",A,
"TrSe2Alg19",A,
"TrSe2Alg20",A,
"TrSe2Alg21",A,
"TrSe2Alg22",A,
"TrSe2Alg23",A,
"TrSe2Alg24",A,
"TrSe2Alg25",A,
"TrSe2Alg26",A,
"TrSe2Alg27",A,
"TrSe2Alg28",A,
"TrSe2Alg29",A,
"TrSe2Alg30",A,
"UlvaFix_P ",A,
"UlvaFix   ",A,
"CONSBL    ",A,
"SwOXYParWK",A,
"TrCoef_153",A,
"Volat_153 ",A,
"TrCoef_HCB",A,
"Volat_HCB ",A,
"TrCoef_HCH",A,
"Volat_HCH ",A,
"TrCoef_Flu",A,
"Volat_Flu ",A,
"TrCoef_BaP",A,
"Volat_BaP ",A,
"TrCoef_Atr",A,
"Volat_Atr ",A,
"TrCoef_Mef",A,
"Volat_Mef ",A,
"TrCoef_Diu",A,
"Volat_Diu ",A,
"Los_WK_153",A,
"Los_WK_HCB",A,
"Los_WK_HCH",A,
"Los_WK_Flu",A,
"Los_WK_BaP",A,
"Los_WK_Atr",A,
"Los_WK_Mef",A,
"Los_WK_Diu",A,
"Los_S1_153",A,
"Los_S1_HCB",A,
"Los_S1_HCH",A,
"Los_S1_Flu",A,
"Los_S1_BaP",A,
"Los_S1_Atr",A,
"Los_S1_Mef",A,
"Los_S1_Diu",A,
"Los_S2_153",A,
"Los_S2_HCB",A,
"Los_S2_HCH",A,
"Los_S2_Flu",A,
"Los_S2_BaP",A,
"Los_S2_Atr",A,
"Los_S2_Mef",A,
"Los_S2_Diu",A,
"Sed_Cd    ",A,
"Sed_Cu    ",A,
"Sed_Zn    ",A,
"Sed_Hg    ",A,
"Sed_Ni    ",A,
"Sed_Pb    ",A,
"Sed_Cr    ",A,
"Sed_As    ",A,
"Sed_Va    ",A,
"Sed_153   ",A,
"Sed_HCB   ",A,
"Sed_HCH   ",A,
"Sed_Flu   ",A,
"Sed_Bap   ",A,
"Sed_Atr   ",A,
"Sed_Mef   ",A,
"Sed_Diu   ",A,
"S12TraAs  ",A,
"S12TraCd  ",A,
"S12TraCr  ",A,
"S12TraCu  ",A,
"S12TraHg  ",A,
"S12TraNi  ",A,
"S12TraPb  ",A,
"S12TraVa  ",A,
"S12TraZn  ",A,
"S12Tra153 ",A,
"S12TraAtr ",A,
"S12TraMef ",A,
"S12TraDiu ",A,
"S12TraBaP ",A,
"S12TraOMP ",A,
"S12TraFlu ",A,
"S12TraHCB ",A,
"S12TraHCH ",A,
"Evap_Conti",A,
"AtmDep_IM1",A,
"AtmDep_IM2",A,
"AtmDep_IM3",A,
"Dfwast_IM1",A,
"Dfwast_IM2",A,
"Dfwast_IM3",A,
"AtmDep_NH4",A,
"AtmDep_NO3",A,
"AtmDep_PO4",A,
"AtmDep_SO4",A,
"AtmDep_153",A,
"AtmDep_HCB",A,
"AtmDep_HCH",A,
"AtmDep_Flu",A,
"AtmDep_Bap",A,
"AtmDep_Atr",A,
"AtmDep_Mef",A,
"AtmDep_Diu",A,
"AtmDep_Cd ",A,
"AtmDep_Cu ",A,
"AtmDep_Zn ",A,
"AtmDep_Hg ",A,
"AtmDep_Ni ",A,
"AtmDep_Pb ",A,
"AtmDep_Cr ",A,
"AtmDep_As ",A,
"AtmDep_Va ",A,
"Dfwast_NO3",A,
"Dfwast_NH4",A,
"Dfwast_PO4",A,
"Dfwast_Si ",A,
"Dfwast_SO4",A,
"Dfwast_153",A,
"Dfwast_HCB",A,
"Dfwast_HCH",A,
"Dfwast_Flu",A,
"Dfwast_Bap",A,
"Dfwast_Atr",A,
"Dfwast_Mef",A,
"Dfwast_Diu",A,
"Dfwast_Cd ",A,
"Dfwast_Cu ",A,
"Dfwast_Zn ",A,
"Dfwast_Hg ",A,
"Dfwast_Ni ",A,
"Dfwast_Pb ",A,
"Dfwast_Cr ",A,
"Dfwast_As ",A,
"Dfwast_Va ",A,
"NH3free   ",A,
"PosOXY    ",A,
"Secchi    ",A,
"Prod_TEWOR",A,
"PartS1_OMP",A,
"PartS2_OMP",A,
"PartWK_OMP",A,
"TrCoef_OMP",A,
"Volat_OMP ",A,
"Los_WK_OMP",A,
"Los_S1_OMP",A,
"Los_S2_OMP",A,
"Sed_OMP   ",A,
"AtmDep_OMP",A,
"Dfwast_OMP",A,
"TraSe2_OMP",A,
"Damrear   ",A,
"TRSOXY    ",A,
"APATITE   ",A,
"HarveZoop ",A,
"HarveMuss ",A,
"HarveG3   ",A,
"HarveG4   ",A,
"HarveG5   ",A,
"VB01availN",A,
"VBStatus01",A,
"VBGrowth01",A,
"VBMort01  ",A,
"VB01_Mrt3W",A,
"VB01_Mrt3S",A,
"VB01Upt   ",A,
"VB01_Upt3D",A,
"VB02availN",A,
"VBStatus02",A,
"VBGrowth02",A,
"VBMort02  ",A,
"VB02_Mrt3W",A,
"VB02_Mrt3S",A,
"VB02Upt   ",A,
"VB02_Upt3D",A,
"VB03availN",A,
"VBStatus03",A,
"VBGrowth03",A,
"VBMort03  ",A,
"VB03_Mrt3W",A,
"VB03_Mrt3S",A,
"VB03Upt   ",A,
"VB03_Upt3D",A,
"VB04availN",A,
"VBStatus04",A,
"VBGrowth04",A,
"VBMort04  ",A,
"VB04_Mrt3W",A,
"VB04_Mrt3S",A,
"VB04Upt   ",A,
"VB04_Upt3D",A,
"VB05availN",A,
"VBStatus05",A,
"VBGrowth05",A,
"VBMort05  ",A,
"VB05_Mrt3W",A,
"VB05_Mrt3S",A,
"VB05Upt   ",A,
"VB05_Upt3D",A,
"VB06availN",A,
"VBStatus06",A,
"VBGrowth06",A,
"VBMort06  ",A,
"VB06_Mrt3W",A,
"VB06_Mrt3S",A,
"VB06Upt   ",A,
"VB06_Upt3D",A,
"VB07availN",A,
"VBStatus07",A,
"VBGrowth07",A,
"VBMort07  ",A,
"VB07_Mrt3W",A,
"VB07_Mrt3S",A,
"VB07Upt   ",A,
"VB07_Upt3D",A,
"VB08availN",A,
"VBStatus08",A,
"VBGrowth08",A,
"VBMort08  ",A,
"VB08_Mrt3W",A,
"VB08_Mrt3S",A,
"VB08Upt   ",A,
"VB08_Upt3D",A,
"VB09availN",A,
"VBStatus09",A,
"VBGrowth09",A,
"VBMort09  ",A,
"VB09_Mrt3W",A,
"VB09_Mrt3S",A,
"VB09Upt   ",A,
"VB09_Upt3D",A,
"Rad_SM01  ",A,
